EP,모듈,제목,핵심 내용,시간
00,인트로,인트로: 5분 만에 보는 MCP의 힘,"과정 소개, Gradio UI 라이브 데모, 과정 로드맵",5분
01,A: MCP 기초,MCP란 무엇인가?,"N×M 문제, USB-C 비유, 3대 프리미티브, uv 환경 세팅",20분
02,A: MCP 기초,MCP 아키텍처 한눈에 보기,"Host/Client/Server 3-tier, JSON-RPC 2.0, Transport, Session Lifecycle",20분
03,A: MCP 기초,첫 번째 MCP 서버 만들기,"FastMCP 초기화, Lifespan 패턴, CLI argument, 프로젝트 구조",20분
04,B: Tools 심화,Tool 기초: 함수를 도구로,"@mcp.tool(), 타입 힌트→스키마, Context 객체",20분
05,B: Tools 심화,실전 Tool (1) 재고 조회,"CSV 로딩, fuzzy 검색, JSON 포맷팅",20분
06,B: Tools 심화,에러 처리와 ToolError 패턴,"ErrorCode enum, ToolError, 에러 vs 빈 결과",20분
07,B: Tools 심화,실전 Tool (2) 정책 검색,"Markdown 파싱, 키워드 검색, 스니펫 추출",20분
08,B: Tools 심화,입력 검증과 보안,"Path Traversal 방지, Injection 방지, validation.py",20분
09,B: Tools 심화,실전 Tool (3) 티켓 생성,"확인 게이트 패턴, Idempotency Key, JSONL 영속성",20분
10,C: Resources & Prompts,Resource 기초: 데이터를 노출하라,"Tool vs Resource, URI 스키마, 정적/동적 Resource",20분
11,C: Resources & Prompts,실전 Resource (1) 정책 인덱스와 상세,"policy://index, policy://{slug}, Tool+Resource 협업",20분
12,C: Resources & Prompts,Resource 보안: Path Traversal 방지,"경로 정규화, base directory check, 보안 테스트",20분
13,C: Resources & Prompts,Prompt Template 이해와 활용,"@mcp.prompt(), 파라미터화, Multi-turn Prompt",20분
14,C: Resources & Prompts,감사 로깅 (Audit Logging),"JSONL 로깅, timestamp/tool_name/duration, 비동기 로깅",20분
15,C: Resources & Prompts,테스트 전략과 pytest 셋업,"pytest-asyncio, Mock AppContext, conftest.py fixture",20분
16,C: Resources & Prompts,통합 테스트로 서버 검증,"MCP Test Client, E2E 테스트, CI/CD 파이프라인",20분
17,D: 통합 & 배포,Streamable HTTP Transport,"stdio vs HTTP, curl 테스트, 멀티 LLM 클라이언트 (Anthropic/OpenAI/Gemini)",20분
18,D: 통합 & 배포,Claude Desktop 연동,"claude_desktop_config.json, stdio/HTTP 설정, 디버깅",20분
19,D: 통합 & 배포,Cursor / VS Code 연동,".cursor/mcp.json, IDE별 특성, 개발자 워크플로우",20분
20,D: 통합 & 배포,SSE에서 Streamable HTTP 마이그레이션,"레거시 SSE 한계, 마이그레이션 체크리스트, 하위 호환성",20분
21,D: 통합 & 배포,캡스톤 리뷰: 전체 시스템 점검,"아키텍처 리뷰, 코드 품질, 테스트 커버리지, 성능",20분
22,E: Advanced,OAuth 2.1 & 인증 게이트웨이,"OAuth 2.1 + PKCE, Bearer Token, Scope 기반 권한",20분
23,E: Advanced,Docker 컨테이너화,"Dockerfile (uv 기반), Multi-stage 빌드, Docker Compose",20분
24,E: Advanced,Rate Limiting & Caching,"Token Bucket, TTL 캐시, Tool별 Rate Limit",20분
25,E: Advanced,Multi-Server 오케스트레이션,"여러 서버 조합, 역할 분리, Circuit Breaker",20분
26,E: Advanced,Observability: 메트릭 & 트레이싱,"OpenTelemetry, Jaeger, Grafana, 주요 메트릭",20분
27,E: Advanced,프로덕션 체크리스트 & 마무리,"10항목 체크리스트, 스펙 업데이트 대응, 학습 방향",20분
